asymmetric,cafkafk,djacu,doronbehar,Ericson2314,fpletz,Gabriella439,getchoo,Infinidoge,jtojnar,kloenk,linsui,lovesegfault,mschwaig,numinit,nyabinary,phaer,proofconstruction,roberth,Scrumplex,tomberek,winterqt,yu-re-ka
5,2,21,15,20,16,7,8,12,4,14,17,13,10,22,1,18,9,6,3,23,11,19
1,23,1,1,20,1,1,1,1,22,1,1,1,1,1,17,1,1,1,18,1,21,19
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,13,21,1,14,1,1,19,1,1,17,1,20,1,16,1,12,15,18,23,22
1,1,1,19,1,1,1,22,1,1,1,1,18,1,1,20,23,1,16,17,15,21,1
1,1,1,11,23,13,20,1,1,21,16,1,22,12,1,1,17,1,14,15,19,18,1
12,23,1,9,17,8,21,5,6,18,3,20,14,22,2,7,10,4,16,13,11,15,19
1,1,1,23,1,21,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,1,1
20,23,1,1,1,1,21,1,19,16,1,1,1,1,1,22,1,18,1,17,1,1,1
10,9,6,7,5,1,11,8,12,20,3,2,13,14,15,16,19,17,18,4,22,23,21
16,20,1,3,13,14,22,15,10,6,7,12,5,11,4,19,17,23,21,9,2,8,18
13,15,2,21,22,17,3,14,5,23,4,19,8,9,12,10,11,1,20,16,6,18,7
1,20,1,1,23,1,22,1,1,21,1,1,1,1,1,1,1,19,1,1,1,1,1
1,1,1,1,22,20,1,1,1,21,1,1,23,1,1,1,1,1,1,1,1,1,1
15,22,1,1,1,20,23,14,13,1,21,1,1,19,1,17,12,16,18,11,1,10,9
1,17,1,16,22,1,1,1,14,1,1,1,23,1,1,18,1,1,20,1,15,19,21
20,23,1,1,1,14,22,15,16,1,17,1,1,1,1,13,1,1,1,19,1,18,21
1,16,1,1,17,1,19,18,12,1,1,1,14,20,11,21,23,22,1,13,10,15,1
1,1,1,19,23,1,1,1,1,20,1,1,1,1,1,1,1,1,22,1,21,1,1
1,14,1,1,22,20,16,1,1,1,18,1,19,21,1,1,15,1,23,1,17,1,1
1,22,1,1,20,17,1,1,1,19,18,1,16,1,1,1,23,1,1,1,21,1,1
1,1,1,1,1,20,18,1,1,17,22,1,1,1,1,1,1,1,1,19,1,21,23
9,3,8,23,13,20,7,22,12,18,1,19,21,4,5,15,6,10,16,11,2,14,17
15,21,1,6,23,4,22,20,12,8,7,3,9,14,17,13,10,19,18,11,16,5,2
1,13,1,1,1,20,19,15,16,22,18,14,1,1,1,1,1,1,1,17,1,23,21
1,23,1,19,20,1,1,1,1,1,1,1,22,1,1,21,1,1,1,1,17,18,1
1,23,1,1,1,1,20,1,19,18,1,1,1,16,1,21,1,17,1,22,1,1,1
13,20,1,19,1,23,1,18,15,17,1,21,1,1,1,1,14,22,12,1,1,1,16
1,19,1,16,15,17,1,1,1,1,1,1,1,1,1,1,20,21,23,1,22,18,1
11,10,1,1,8,19,22,16,17,21,1,14,1,15,1,1,12,13,9,18,1,23,20
21,1,1,1,13,10,23,11,1,20,1,1,16,1,14,19,12,18,17,1,1,22,15
1,1,1,1,22,20,1,1,1,19,1,1,18,1,1,1,23,1,21,1,16,17,1
14,10,1,1,1,15,22,17,18,20,16,9,1,13,1,1,11,12,1,19,1,23,21
5,3,1,8,22,21,4,12,13,15,9,2,18,6,10,14,19,7,23,11,20,16,17
6,2,12,21,16,9,19,22,7,23,5,11,15,14,13,4,20,8,18,10,17,1,3
10,18,1,1,8,20,22,15,16,21,1,14,1,13,1,1,11,12,9,17,1,23,19
1,1,1,16,17,23,15,1,1,1,14,1,18,13,1,19,21,12,1,1,1,20,22
1,22,1,1,1,1,20,1,1,18,1,1,17,19,1,16,23,1,1,1,21,1,1
1,16,1,1,15,20,22,1,17,21,1,1,1,1,1,1,1,1,14,18,1,23,19
1,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,20,23,1,1
21,1,8,10,14,20,2,19,6,12,18,15,22,13,11,5,23,16,17,9,3,4,7
1,1,22,13,19,1,1,1,1,1,14,17,1,16,23,20,15,12,18,1,21,1,1
1,1,1,1,1,1,1,21,1,19,1,22,1,1,1,1,1,1,1,1,20,23,18
